id,rings
658,21
749,25
3386,23
487,24
341,23
517,25
710,15
1437,17
73,16
1887,3
2416,10
1596,2
1537,1
2251,19
1598,4
719,24
3015,29
3865,9
3447,26
3573,7
2332,13
1317,13
128,13
2250,18
1719,9
2930,2
1027,13
2436,1
3980,8
1509,2
187,14
2991,5
3428,7
3538,1
1318,14
1117,16
1822,25
3941,27
3318,13
1189,1
2686,19
1746,7
1911,27
1412,21
3876,20
282,22
368,21
1482,4
1313,9
3898,13
2921,22
3558,21
3646,22
1713,3
4014,13
1215,27
1753,14
3192,3
3867,11
2644,6
875,6
577,27
3461,11
2580,29
3955,12
3577,11
1775,7
1921,8
515,23
2032,3
1304,29
1864,9
2271,10
1017,3
1257,11
3548,11
4047,17
3881,25
1557,21
60,3
2674,7
2499,6
2373,25
4176,1
3332,27
176,3
1468,19
1652,29
1153,23
58,1
2961,4
2652,14
632,24
3861,5
959,3
1534,27
127,12
1687,6
1859,4
1995,24
920,22
605,26
2595,15
3866,10
1092,20
3627,3
2849,8
2323,4
1390,28
1778,10
167,23
1650,27
3981,9
647,10
1152,22
1697,16
104,18
2217,14
3799,1
3295,19
3959,16
3610,15
686,20
1982,11
1735,25
3029,14
2011,11
3251,4
3743,3
752,28
1080,8
1282,7
979,23
2076,18
2493,29
1491,13
2538,16
3237,19
944,17
1445,25
1760,21
3523,15
1275,29
1233,16
3993,21
3878,22
133,18
1639,16
1941,28
927,29
49,21
2874,4
3574,8
1691,10
2069,11
3463,13
4032,2
2914,15
839,28
409,4
3317,12
72,15
1533,26
3432,11
2172,27
1744,5
2762,8
2105,18
3904,19
2482,18
2151,6
1827,1
1774,6
3894,9
1087,15
2950,22
88,2
2071,13
63,6
640,3
3608,13
3414,22
2707,11
423,18
2973,16
3290,14
464,1
4157,11
