id,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
713,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
329,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8
728,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
2989,M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9
1630,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
1847,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
1213,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
620,M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10
933,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
1210,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
2642,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
995,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
3354,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
3096,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
1572,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
1741,M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
339,F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
2671,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
3803,I,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7
1228,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
2917,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
1072,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
4025,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
3013,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
1642,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
2168,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
168,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
3389,M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
889,F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
1019,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
1930,M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
3678,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
3831,F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
2544,F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10
2981,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
1418,M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
1522,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
1570,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
2663,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9
2405,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15
3938,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
1693,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
1981,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12
3337,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
3991,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
3210,M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
615,M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
545,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
1954,F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
1975,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
564,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
1892,M,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
2624,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
2741,I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
758,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
85,F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12
1638,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
2395,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
1241,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
4077,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9
3575,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
3320,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
673,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
2057,I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
2711,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
2976,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
1520,M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,10
2122,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
3027,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
2047,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6
3145,M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13
932,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
3613,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
1546,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
843,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
2919,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
2622,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
3532,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
3529,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
2525,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
2529,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
3009,I,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
3423,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11
2029,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
2897,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10
1924,F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8
2635,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
1878,I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
1107,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
3107,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
1260,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
3070,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9
3850,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
1308,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
1567,I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
1441,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
3579,F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
1600,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
1826,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7
4115,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
761,F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
1377,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
1934,M,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,9
2992,I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
2249,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
3196,I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
1307,I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
2326,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
1893,I,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
3384,F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
4172,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
1703,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
3596,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
4020,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
1663,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
3346,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
2534,M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
2320,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10
964,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
4103,M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
2082,F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
3401,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
765,M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
3150,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
3769,F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9
4106,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
1665,F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
2126,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
3649,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
2779,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
1362,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
2374,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
1606,I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
448,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
2330,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
1619,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
1147,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
1907,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
1742,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
1548,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
2120,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
3040,F,0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10
2274,M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15
3403,I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
4122,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
3632,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
1424,F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
1463,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
1396,M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
261,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
3978,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
1801,M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
1024,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
3541,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
4003,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
3329,F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10
2188,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
637,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
3446,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
1932,F,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11
2557,I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,7
1057,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
1084,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
598,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
2077,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
4059,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
1914,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
1569,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8
1976,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
912,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
1003,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
3376,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
3315,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
3775,M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8
2724,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8
3840,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
1167,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
2915,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
2228,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
354,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16
2190,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
3664,I,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,9
2377,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
2597,F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
834,I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
2586,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
4006,M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
2164,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
3035,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
726,M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
3817,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
2634,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
2910,M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
1020,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
1818,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10
456,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15
2067,F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9
3061,M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
1071,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
3166,F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18
737,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
2815,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
2937,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
1025,M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
1469,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
3768,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
2107,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
2462,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
3631,I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
3699,M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
2470,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
2828,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
3830,M,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
525,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
497,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
2309,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
733,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
3820,M,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,10
1884,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
1592,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
2691,F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,9
850,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
835,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
2530,F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
2406,F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10
955,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
3080,M,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,13
514,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
1305,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
2488,M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14
3037,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,9
403,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
1669,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10
973,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
2776,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
3671,I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
3859,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
1467,I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7
1382,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
3517,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
2696,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
3236,I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8
3421,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
3073,M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
477,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
3299,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16
2845,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
2079,F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
521,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
2909,F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
4070,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
568,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7
2813,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
3207,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
3551,I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
2336,F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
2754,I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
1568,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
1874,I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
3540,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
1450,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
2118,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
3897,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
2865,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
3742,F,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13
810,M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
992,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
1961,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
3046,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
1977,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13
28,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
563,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
3645,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
2775,I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
2916,M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
462,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6
4142,M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
1431,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
2880,I,0.475,0.375,0.11,0.494,0.211,0.109,0.1545,8
417,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
1187,M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
652,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
3154,M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
4096,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
4019,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
2111,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
2621,M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
442,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
2851,F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,12
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
3998,I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
2415,M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10
2348,M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
1129,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
3703,F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
3982,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
1465,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
2112,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
730,M,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11
4169,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
3744,I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
3833,M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11
2651,I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
1781,M,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8
3179,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
2929,I,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11
1506,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
1695,F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
709,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
325,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
