animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,7
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,5
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,5
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,6
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,3
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
