FlightRecord,FlightDate,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
16449,1995-01-08,1210.0,1155,1830.0,1814,US,772,N446US,260.0,259.0,242.0,16.0,15.0,PHX,PHL,2075.0,4.0,14.0,0,,0,,,,,,YES,YES
22109,1998-01-18,805.0,805,1050.0,1110,WN,440,N311,225.0,245.0,216.0,-20.0,0.0,BNA,PHX,1448.0,2.0,7.0,0,,0,,,,,,NO,NO
36104,2005-01-14,1459.0,1350,2037.0,1944,UA,544,N806UA,218.0,234.0,198.0,53.0,69.0,SMF,ORD,1781.0,8.0,12.0,0,,0,18.0,0.0,0.0,0.0,35.0,YES,YES
715,1987-10-16,1133.0,1129,1234.0,1225,PS,1490,,61.0,56.0,,9.0,4.0,SNA,LAS,226.0,,,0,,0,,,,,,YES,YES
27052,2000-01-22,1850.0,1830,2210.0,2130,WN,161,N744,320.0,300.0,305.0,40.0,20.0,BWI,PHX,1999.0,5.0,10.0,0,,0,,,,,,YES,YES
41132,2007-01-02,1223.0,1220,1316.0,1320,WN,19,N523,53.0,60.0,45.0,-4.0,3.0,HOU,HRL,276.0,1.0,7.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
24623,1999-01-19,1053.0,1055,1330.0,1344,AA,1020,N707AA,217.0,229.0,204.0,-14.0,-2.0,SJU,PHL,1576.0,4.0,9.0,0,,0,,,,,,NO,NO
38927,2006-01-11,1759.0,1810,2009.0,2024,US,169,N522AU,130.0,134.0,94.0,-15.0,-11.0,PHL,IND,587.0,8.0,28.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
30228,2002-01-30,557.0,600,728.0,720,US,735,N356äâ,91.0,80.0,46.0,8.0,-3.0,ROC,PHL,257.0,3.0,42.0,0,,0,,,,,,YES,NO
7310,1990-01-14,1317.0,1320,1409.0,1423,US,49,,52.0,63.0,,-14.0,-3.0,CLE,IND,261.0,,,0,,0,,,,,,NO,NO
30646,2002-01-29,2008.0,2010,2124.0,2132,US,753,N412äâ,76.0,82.0,62.0,-8.0,-2.0,BWI,CLT,361.0,6.0,8.0,0,,0,,,,,,NO,NO
19456,1996-01-29,1201.0,1200,1359.0,1351,UA,419,N1824U,118.0,111.0,95.0,8.0,1.0,DEN,PHX,602.0,14.0,9.0,0,,0,,,,,,YES,YES
13272,1993-01-02,1422.0,1415,1631.0,1624,US,97,,129.0,129.0,,7.0,7.0,PHL,JAX,742.0,,,0,,0,,,,,,YES,YES
31135,2002-01-20,1744.0,1750,1913.0,1914,US,770,N335äâ,89.0,84.0,64.0,-1.0,-6.0,IND,CLT,428.0,12.0,13.0,0,,0,,,,,,NO,NO
93,1987-10-27,1644.0,1635,1746.0,1732,PS,1454,,62.0,57.0,,14.0,9.0,OAK,BUR,325.0,,,0,,0,,,,,,YES,YES
6389,1990-01-05,1721.0,1710,2030.0,2019,US,34,,129.0,129.0,,11.0,11.0,MCI,BWI,967.0,,,0,,0,,,,,,YES,YES
42489,2008-01-03,1518.0,1455,1658.0,1640,WN,3155,N449WN,220.0,225.0,203.0,18.0,23.0,MCI,LAX,1363.0,6.0,11.0,0,,0,9.0,0.0,0.0,0.0,9.0,YES,YES
27914,2000-01-01,1534.0,1530,1724.0,1717,UA,2767,N925UA,110.0,107.0,94.0,7.0,4.0,DEN,PHX,602.0,2.0,14.0,0,,0,,,,,,YES,YES
18848,1996-01-30,1626.0,1610,1915.0,1848,US,177,N415US,289.0,278.0,274.0,27.0,16.0,CLT,PHX,1774.0,2.0,13.0,0,,0,,,,,,YES,YES
13318,1993-01-24,2102.0,2055,2220.0,2223,US,98,,78.0,88.0,,-3.0,7.0,IND,BWI,515.0,,,0,,0,,,,,,NO,YES
26560,2000-01-22,1247.0,1247,1509.0,1506,HP,2206,N316AW,82.0,79.0,62.0,3.0,0.0,BUR,PHX,369.0,7.0,13.0,0,,0,,,,,,YES,NO
2322,1988-01-01,2058.0,2100,2212.0,2205,PI,949,,74.0,65.0,,7.0,-2.0,EWR,ORF,284.0,,,0,,0,,,,,,YES,NO
3594,1988-01-13,924.0,925,1013.0,1018,PS,1451,,49.0,53.0,,-5.0,-1.0,SFO,RNO,192.0,,,0,,0,,,,,,NO,NO
37291,2005-01-24,2016.0,2021,2145.0,2148,UA,587,N815UA,89.0,87.0,70.0,-3.0,-5.0,SFO,SNA,372.0,5.0,14.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
43559,2008-01-03,1126.0,1130,1229.0,1245,WN,1319,N356SW,63.0,75.0,48.0,-16.0,-4.0,PVD,PHL,238.0,4.0,11.0,0,,0,,,,,,NO,NO
19375,1996-01-07,1840.0,1840,2027.0,2025,HP,1249,N156AW,107.0,105.0,84.0,2.0,0.0,DEN,PHX,602.0,5.0,18.0,0,,0,,,,,,YES,NO
35526,2004-01-03,1118.0,1020,1319.0,1219,UA,500,N921UA,61.0,59.0,39.0,60.0,58.0,ORD,IND,177.0,8.0,14.0,0,,0,0.0,0.0,2.0,0.0,58.0,YES,YES
17187,1995-01-03,1433.0,1430,1524.0,1525,US,159,N242US,51.0,55.0,38.0,-1.0,3.0,RIC,PHL,198.0,4.0,9.0,0,,0,,,,,,NO,YES
19138,1996-01-14,903.0,900,1035.0,1057,DL,319,N535DA,212.0,237.0,197.0,-22.0,3.0,CVG,PHX,1569.0,4.0,11.0,0,,0,,,,,,NO,YES
11631,1992-01-16,1024.0,1025,1235.0,1244,US,85,,131.0,139.0,,-9.0,-1.0,LGA,IND,659.0,,,0,,0,,,,,,NO,NO
42938,2008-01-03,1614.0,1610,1836.0,1830,WN,85,N688SW,82.0,80.0,71.0,6.0,4.0,MSY,TPA,487.0,5.0,6.0,0,,0,,,,,,YES,YES
41574,2007-01-02,627.0,625,1236.0,1220,WN,1810,N260,249.0,235.0,235.0,16.0,2.0,LAX,MDW,1750.0,6.0,8.0,0,,0,0.0,0.0,16.0,0.0,0.0,YES,YES
38266,2006-01-11,2129.0,2130,2242.0,2255,US,190,N745UW,73.0,85.0,59.0,-13.0,-1.0,CLT,PIT,366.0,4.0,10.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
42826,2008-01-03,1523.0,1435,1734.0,1650,WN,1276,N265WN,251.0,255.0,238.0,44.0,48.0,MDW,RNO,1680.0,5.0,8.0,0,,0,31.0,0.0,0.0,0.0,13.0,YES,YES
43530,2008-01-03,1057.0,1055,1152.0,1205,WN,2964,N347SW,55.0,70.0,46.0,-13.0,2.0,PIT,PHL,267.0,4.0,5.0,0,,0,,,,,,NO,YES
10677,1992-01-11,1248.0,1240,1359.0,1406,US,65,,131.0,146.0,,-7.0,8.0,PIT,MCI,773.0,,,0,,0,,,,,,NO,YES
14736,1994-01-26,2000.0,1945,2021.0,2014,US,245,,81.0,89.0,,7.0,15.0,PIT,ORD,412.0,,,0,,0,,,,,,YES,YES
1472,1987-10-14,1258.0,1255,1352.0,1345,PS,1524,,54.0,50.0,,7.0,3.0,BUR,LAS,223.0,,,0,,0,,,,,,YES,YES
8536,1991-01-13,1743.0,1745,1936.0,1925,US,124,,113.0,100.0,,11.0,-2.0,CLT,EWR,529.0,,,0,,0,,,,,,YES,NO
40875,2007-01-02,708.0,705,814.0,815,WN,2317,N647SW,66.0,70.0,52.0,-1.0,3.0,DAL,MAF,319.0,5.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
18865,1996-01-16,1632.0,1630,1842.0,1834,HP,31,N631AW,250.0,244.0,234.0,8.0,2.0,CMH,PHX,1671.0,5.0,11.0,0,,0,,,,,,YES,YES
4149,1989-01-23,1808.0,1740,1858.0,1820,UA,185,,50.0,40.0,,38.0,28.0,HNL,LIH,102.0,,,0,,0,,,,,,YES,YES
1816,1987-10-02,745.0,745,845.0,834,PS,1546,,60.0,49.0,,11.0,0.0,BUR,LAS,223.0,,,0,,0,,,,,,YES,NO
23560,1998-01-14,1512.0,1515,1645.0,1703,UA,2765,N919UA,93.0,108.0,84.0,-18.0,-3.0,DEN,PHX,602.0,2.0,7.0,0,,0,,,,,,NO,NO
1201,1987-10-23,711.0,710,803.0,801,PS,1512,,52.0,51.0,,2.0,1.0,LAX,LAS,236.0,,,0,,0,,,,,,YES,YES
19792,1996-01-14,955.0,0,1118.0,0,AA,713,N455AA,143.0,155.0,130.0,-12.0,0.0,DFW,PHX,868.0,3.0,10.0,0,,0,,,,,,NO,NO
4294,1989-01-20,1332.0,1325,2010.0,2005,UA,188,,278.0,280.0,,5.0,7.0,OGG,SFO,2338.0,,,0,,0,,,,,,YES,YES
41656,2007-01-02,1740.0,1735,1845.0,1840,WN,111,N501,65.0,65.0,52.0,5.0,5.0,LBB,AUS,341.0,4.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,YES
2199,1988-01-15,1917.0,1910,2015.0,2016,PI,948,,58.0,66.0,,-1.0,7.0,CHO,LGA,305.0,,,0,,0,,,,,,NO,YES
2628,1988-01-21,706.0,705,804.0,807,PI,960,,58.0,62.0,,-3.0,1.0,CHS,ORF,351.0,,,0,,0,,,,,,NO,YES
14409,1994-01-05,1939.0,1925,2052.0,2027,US,240,,73.0,62.0,,25.0,14.0,CVG,PIT,256.0,,,0,,0,,,,,,YES,YES
30516,2002-01-09,1553.0,1600,1651.0,1656,US,751,N722äæ,58.0,56.0,39.0,-5.0,-7.0,DCA,PHL,119.0,11.0,8.0,0,,0,,,,,,NO,NO
8208,1991-01-28,1630.0,1625,1715.0,1717,US,118,,45.0,52.0,,-2.0,5.0,CLT,OAJ,191.0,,,0,,0,,,,,,NO,YES
21112,1997-01-22,925.0,905,1214.0,1139,CO,1611,N14342,289.0,274.0,265.0,35.0,20.0,CLE,PHX,1737.0,6.0,18.0,0,,0,,,,,,YES,YES
4614,1989-01-28,2325.0,2330,933.0,852,UA,200,,428.0,382.0,,41.0,-5.0,HNL,DEN,3365.0,,,0,,0,,,,,,YES,NO
25575,1999-01-12,845.0,825,950.0,935,WN,478,N54,65.0,70.0,53.0,15.0,20.0,ABQ,PHX,328.0,3.0,9.0,0,,0,,,,,,YES,YES
13938,1993-01-27,1910.0,1855,2202.0,2214,US,115,,172.0,199.0,,-12.0,15.0,LGA,FLL,1076.0,,,0,,0,,,,,,NO,YES
4430,1989-01-31,801.0,800,1032.0,1045,UA,193,,331.0,345.0,,-13.0,1.0,EWR,LAX,2454.0,,,0,,0,,,,,,NO,YES
5447,1989-01-05,1411.0,1350,1643.0,1627,UA,224,,92.0,97.0,,16.0,21.0,ORD,ABE,654.0,,,0,,0,,,,,,YES,YES
23809,1998-01-19,1054.0,0,1220.0,0,AA,419,N469AA,146.0,163.0,127.0,-11.0,6.0,DFW,PHX,868.0,7.0,12.0,0,,0,,,,,,NO,YES
38347,2006-01-11,1157.0,1145,1317.0,1305,US,348,N123UW,80.0,80.0,63.0,12.0,12.0,DCA,CLT,331.0,3.0,14.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,YES
15969,1994-01-24,1320.0,1320,1417.0,1419,US,281,,57.0,59.0,,-2.0,0.0,PIT,BWI,210.0,,,0,,0,,,,,,NO,NO
3444,1988-01-07,1142.0,1145,1253.0,1253,PS,1445,,71.0,68.0,,0.0,-3.0,BUR,OAK,325.0,,,0,,0,,,,,,NO,NO
11907,1992-01-30,658.0,700,756.0,800,US,92,,58.0,60.0,,-4.0,-2.0,EWR,BOS,200.0,,,0,,0,,,,,,NO,NO
43918,2008-01-03,1830.0,1710,1944.0,1820,WN,1044,N306SW,74.0,70.0,53.0,84.0,80.0,SJC,LAX,308.0,5.0,16.0,0,,0,26.0,0.0,4.0,0.0,54.0,YES,YES
34884,2004-01-16,948.0,951,1125.0,1135,UA,482,N318UA,97.0,104.0,78.0,-10.0,-3.0,PHX,DEN,602.0,8.0,11.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
6230,1990-01-24,1017.0,945,1230.0,1215,US,31,,313.0,330.0,,15.0,32.0,PIT,SFO,2254.0,,,0,,0,,,,,,YES,YES
42818,2008-01-03,652.0,650,1012.0,955,WN,1064,N386SW,140.0,125.0,118.0,17.0,2.0,MDW,PVD,842.0,2.0,20.0,0,,0,0.0,0.0,17.0,0.0,0.0,YES,YES
21946,1997-01-08,1329.0,1330,1503.0,1512,UA,1403,N7451U,94.0,102.0,76.0,-9.0,-1.0,DEN,PHX,602.0,6.0,12.0,0,,0,,,,,,NO,NO
42301,2008-01-03,1328.0,1315,1611.0,1600,WN,397,N424WN,103.0,105.0,80.0,11.0,13.0,LAX,ABQ,677.0,18.0,5.0,0,,0,,,,,,YES,YES
19205,1996-01-19,1745.0,1610,2024.0,1817,DL,1521,N911DL,279.0,247.0,259.0,127.0,95.0,CVG,PHX,1569.0,5.0,15.0,0,,0,,,,,,YES,YES
954,1987-10-23,1807.0,1745,1924.0,1855,PS,1500,,77.0,70.0,,29.0,22.0,SMF,LAX,373.0,,,0,,0,,,,,,YES,YES
38805,2006-01-11,1816.0,1822,2058.0,2115,US,210,N311AW,102.0,113.0,89.0,-17.0,-6.0,OAK,PHX,646.0,4.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
2119,1988-01-20,1750.0,1705,1900.0,1810,PI,944,,70.0,65.0,,50.0,45.0,SYR,BOS,264.0,,,0,,0,,,,,,YES,YES
34787,2004-01-19,1728.0,1730,1820.0,1810,UA,481,N465UA,112.0,100.0,79.0,10.0,-2.0,PIT,ORD,412.0,17.0,16.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,NO
37267,2005-01-28,1414.0,1400,1955.0,1954,UA,586,N582UA,221.0,234.0,209.0,1.0,14.0,SNA,ORD,1726.0,3.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,YES
35631,2004-01-16,1919.0,1918,2018.0,2025,UA,503,N939UA,119.0,127.0,103.0,-7.0,1.0,CLT,ORD,599.0,6.0,10.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
41479,2007-01-02,1733.0,1735,1825.0,1835,WN,768,N402,52.0,60.0,40.0,-10.0,-2.0,LAS,SAN,258.0,2.0,10.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
30579,2002-01-15,1511.0,1515,1710.0,1702,US,752,N529Aä,119.0,107.0,87.0,8.0,-4.0,CLT,DTW,500.0,7.0,25.0,0,,0,,,,,,YES,NO
38414,2006-01-11,1455.0,1500,1614.0,1628,US,1602,N820MD,79.0,88.0,64.0,-14.0,-5.0,DCA,PWM,482.0,4.0,11.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
27238,2000-01-28,1113.0,1113,1346.0,1330,HP,2029,N621AW,273.0,257.0,225.0,16.0,0.0,CMH,PHX,1671.0,38.0,10.0,0,,0,,,,,,YES,NO
20684,1997-01-19,1520.0,1520,1747.0,1805,WN,1364,N636,207.0,225.0,190.0,-18.0,0.0,BNA,PHX,1448.0,4.0,13.0,0,,0,,,,,,NO,NO
39565,2006-01-12,659.0,700,940.0,1021,US,679,N679AW,281.0,321.0,263.0,-41.0,-1.0,BWI,PHX,1999.0,6.0,12.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
38858,2006-01-11,1324.0,1305,1610.0,1543,US,1238,N512AU,166.0,158.0,148.0,27.0,19.0,PBI,PHL,951.0,4.0,14.0,0,,0,0.0,0.0,27.0,0.0,0.0,YES,YES
18651,1996-01-16,2135.0,2135,2332.0,2345,WN,1389,N617,57.0,70.0,50.0,-13.0,0.0,BUR,PHX,369.0,4.0,3.0,0,,0,,,,,,NO,NO
36137,2005-01-24,1955.0,1810,2314.0,2005,UA,545,N362UA,259.0,175.0,142.0,189.0,105.0,BOS,ORD,867.0,6.0,111.0,0,,0,0.0,0.0,85.0,0.0,104.0,YES,YES
42713,2008-01-03,707.0,640,934.0,925,WN,195,N793SA,147.0,165.0,133.0,9.0,27.0,MDW,HOU,937.0,4.0,10.0,0,,0,,,,,,YES,YES
9803,1991-01-31,1824.0,1825,1936.0,1939,US,147,,72.0,74.0,,-3.0,-1.0,PHF,PIT,308.0,,,0,,0,,,,,,NO,NO
18487,1996-01-31,1512.0,1512,1741.0,1730,HP,460,N328AW,89.0,78.0,69.0,11.0,0.0,BUR,PHX,369.0,5.0,15.0,0,,0,,,,,,YES,NO
34011,2004-01-11,1513.0,1510,1755.0,1732,UA,463,N580UA,282.0,262.0,250.0,23.0,3.0,ORD,PDX,1739.0,3.0,29.0,0,,0,0.0,0.0,20.0,0.0,3.0,YES,YES
40634,2007-01-02,1910.0,1830,2006.0,1930,WN,914,N448,56.0,60.0,41.0,36.0,40.0,BWI,ISP,220.0,4.0,11.0,0,,0,5.0,0.0,0.0,0.0,31.0,YES,YES
23439,1998-01-17,1017.0,1018,1207.0,1211,UA,2757,N928UA,110.0,113.0,95.0,-4.0,-1.0,DEN,PHX,602.0,8.0,7.0,0,,0,,,,,,NO,NO
12263,1993-01-08,2151.0,2150,2256.0,2248,US,72,,65.0,58.0,,8.0,1.0,PIT,ABE,253.0,,,0,,0,,,,,,YES,YES
17566,1995-01-23,1452.0,1450,2246.0,2257,UA,94,N532UA,294.0,307.0,278.0,-11.0,2.0,SFO,PHL,2521.0,3.0,13.0,0,,0,,,,,,NO,YES
30276,2002-01-13,1801.0,1745,2026.0,2016,US,741,N615Aä,325.0,331.0,306.0,10.0,16.0,PIT,SFO,2254.0,7.0,12.0,0,,0,,,,,,YES,YES
9550,1991-01-07,650.0,645,729.0,732,US,142,,39.0,47.0,,-3.0,5.0,PIT,MDT,185.0,,,0,,0,,,,,,NO,YES
27188,2000-01-09,822.0,825,1054.0,1102,US,175,N701UW,272.0,277.0,258.0,-8.0,-3.0,CLT,PHX,1774.0,3.0,11.0,0,,0,,,,,,NO,NO
37937,2005-01-19,650.0,700,750.0,806,UA,603,N421UA,120.0,126.0,98.0,-16.0,-10.0,DCA,ORD,612.0,5.0,17.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
8395,1991-01-18,1440.0,1430,1700.0,1645,US,121,,140.0,135.0,,15.0,10.0,PIT,TPA,873.0,,,0,,0,,,,,,YES,YES
18499,1996-01-12,714.0,714,931.0,932,HP,1404,N151AW,77.0,78.0,66.0,-1.0,0.0,BUR,PHX,369.0,3.0,8.0,0,,0,,,,,,NO,NO
5726,1989-01-10,1248.0,1245,1558.0,1555,UA,232,,130.0,130.0,,3.0,3.0,DEN,ORD,888.0,,,0,,0,,,,,,YES,YES
13201,1993-01-18,1542.0,1540,1726.0,1719,US,95,,104.0,99.0,,7.0,2.0,PVD,PIT,467.0,,,0,,0,,,,,,YES,YES
39941,2006-01-12,1625.0,1630,1817.0,1829,US,1105,N577US,112.0,119.0,78.0,-12.0,-5.0,EWR,CLT,529.0,5.0,29.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
1446,1987-10-15,1647.0,1600,1803.0,1708,PS,1522,,76.0,68.0,,55.0,47.0,SFO,LAX,337.0,,,0,,0,,,,,,YES,YES
28920,2001-01-25,1352.0,1358,1502.0,1518,US,410,N585äâ,70.0,80.0,50.0,-16.0,-6.0,IAD,CLT,321.0,9.0,11.0,0,,0,,,,,,NO,NO
11576,1992-01-11,1336.0,1335,1455.0,1513,US,85,,259.0,278.0,,-18.0,1.0,IND,LAX,1814.0,,,0,,0,,,,,,NO,YES
22924,1998-01-17,636.0,640,820.0,830,HP,2572,N141AW,104.0,110.0,89.0,-10.0,-4.0,COS,PHX,551.0,6.0,9.0,0,,0,,,,,,NO,NO
18358,1996-01-25,1720.0,1710,1841.0,1830,WN,844,N24,141.0,140.0,132.0,11.0,10.0,AUS,PHX,872.0,3.0,6.0,0,,0,,,,,,YES,YES
5811,1989-01-05,1506.0,1457,1822.0,1814,UA,234,,136.0,137.0,,8.0,9.0,DEN,ORD,888.0,,,0,,0,,,,,,YES,YES
30822,2002-01-29,1747.0,1755,1942.0,1950,US,759,N520Aä,115.0,115.0,89.0,-8.0,-8.0,BOS,PIT,496.0,7.0,19.0,0,,0,,,,,,NO,NO
37401,2005-01-06,1823.0,1720,2152.0,2043,UA,590,N834UA,149.0,143.0,121.0,69.0,63.0,MSY,IAD,954.0,12.0,16.0,0,,0,63.0,0.0,6.0,0.0,0.0,YES,YES
14999,1994-01-31,2017.0,2015,2055.0,2043,US,251,,98.0,88.0,,12.0,2.0,PIT,MDW,402.0,,,0,,0,,,,,,YES,YES
18559,1996-01-12,925.0,925,1142.0,1140,WN,420,N609,77.0,75.0,63.0,2.0,0.0,BUR,PHX,369.0,2.0,12.0,0,,0,,,,,,YES,NO
28379,2001-01-17,1731.0,1736,1857.0,1851,US,392,N525Aä,86.0,75.0,52.0,6.0,-5.0,ROC,BOS,343.0,12.0,22.0,0,,0,,,,,,YES,NO
9967,1991-01-14,853.0,855,1040.0,1015,US,150,,107.0,80.0,,25.0,-2.0,LGA,ORF,296.0,,,0,,0,,,,,,YES,NO
31002,2002-01-06,1437.0,1345,1611.0,1511,US,765,N356äâ,94.0,86.0,67.0,60.0,52.0,BOS,PHL,280.0,8.0,19.0,0,,0,,,,,,YES,YES
8950,1991-01-10,1323.0,1325,1357.0,1355,US,130,,94.0,90.0,,2.0,-2.0,PIT,MDW,402.0,,,0,,0,,,,,,YES,NO
5257,1989-01-23,714.0,715,1014.0,1033,UA,220,,120.0,138.0,,-19.0,-1.0,DEN,ORD,888.0,,,0,,0,,,,,,NO,NO
21312,1997-01-05,,1214,,1352,HP,1241,N186AW,,98.0,,,,COS,PHX,551.0,0.0,0.0,1,,0,,,,,,YES,YES
37526,2005-01-12,556.0,600,943.0,928,UA,592,N398UA,167.0,148.0,141.0,15.0,-4.0,PDX,DEN,992.0,12.0,14.0,0,,0,0.0,0.0,15.0,0.0,0.0,YES,NO
22365,1998-01-04,1405.0,1335,1610.0,1550,WN,441,N380,65.0,75.0,58.0,20.0,30.0,BUR,PHX,369.0,1.0,6.0,0,,0,,,,,,YES,YES
23923,1998-01-20,1604.0,0,1747.0,0,AA,1021,N527AA,163.0,167.0,135.0,-5.0,-1.0,DFW,PHX,868.0,3.0,25.0,0,,0,,,,,,NO,NO
29521,2001-01-08,740.0,745,854.0,907,US,432,-N920å,74.0,82.0,57.0,-13.0,-5.0,PIT,EWR,319.0,8.0,9.0,0,,0,,,,,,NO,NO
