date,maxTemp,meanTemp,minTemp
12/17/07,23.0,19.0,15.0
3/25/07,79.0,64.0,48.0
8/28/12,86.0,75.0,63.0
1/14/06,37.0,33.0,28.0
8/14/11,75.0,69.0,62.0
3/17/04,36.0,32.0,28.0
5/19/02,54.0,45.0,37.0
6/8/11,95.0,81.0,66.0
6/16/04,82.0,72.0,61.0
9/13/11,73.0,65.0,56.0
1/25/13,29.0,24.0,18.0
7/18/14,79.0,69.0,59.0
12/10/10,37.0,30.0,23.0
1/19/07,27.0,23.0,18.0
7/3/06,82.0,74.0,66.0
2/1/13,14.0,7.0,0.0
11/3/04,52.0,48.0,45.0
7/2/05,75.0,65.0,54.0
5/28/02,78.0,68.0,59.0
12/27/01,26.0,22.0,19.0
5/31/01,62.0,54.0,48.0
7/19/14,80.0,69.0,57.0
9/7/13,88.0,77.0,65.0
3/27/07,73.0,59.0,45.0
11/10/03,51.0,38.0,26.0
6/26/10,87.0,78.0,69.0
11/20/14,27.0,21.0,14.0
3/18/02,46.0,40.0,35.0
9/24/14,77.0,66.0,54.0
4/9/12,63.0,52.0,41.0
5/21/11,75.0,63.0,50.0
2/7/07,11.0,5.0,-2.0
8/9/09,91.0,84.0,77.0
12/3/13,50.0,44.0,37.0
11/9/09,63.0,57.0,50.0
3/8/04,37.0,34.0,30.0
12/25/14,42.0,38.0,33.0
6/16/14,88.0,78.0,67.0
5/30/10,91.0,76.0,61.0
5/12/04,84.0,75.0,66.0
9/3/12,88.0,80.0,71.0
3/16/07,39.0,32.0,25.0
10/9/13,71.0,60.0,48.0
10/19/02,51.0,43.0,33.0
7/24/11,87.0,80.0,72.0
1/28/09,18.0,13.0,8.0
1/29/01,42.0,35.0,28.0
1/1/05,39.0,32.0,25.0
3/25/06,45.0,37.0,28.0
3/1/02,32.0,26.0,21.0
6/2/10,77.0,67.0,57.0
7/5/03,88.0,77.0,68.0
2/27/08,23.0,19.0,15.0
6/20/10,81.0,73.0,64.0
3/23/10,59.0,44.0,28.0
6/15/02,78.0,66.0,55.0
11/10/04,62.0,55.0,48.0
6/23/09,94.0,83.0,71.0
2/4/15,25.0,15.0,4.0
12/24/04,12.0,5.0,-2.0
3/6/13,34.0,31.0,28.0
7/6/12,103.0,93.0,82.0
6/29/07,70.0,63.0,56.0
8/31/14,85.0,77.0,68.0
4/24/12,66.0,52.0,38.0
12/10/03,53.0,40.0,28.0
12/9/04,50.0,44.0,37.0
9/11/08,79.0,67.0,55.0
2/11/15,35.0,27.0,18.0
10/25/11,74.0,60.0,45.0
1/17/05,10.0,6.0,1.0
2/28/06,38.0,32.0,26.0
8/28/13,83.0,77.0,71.0
4/21/02,42.0,40.0,39.0
10/2/10,57.0,51.0,45.0
7/17/06,95.0,83.0,71.0
3/22/05,42.0,36.0,30.0
1/7/07,41.0,34.0,27.0
8/23/11,73.0,68.0,62.0
12/29/02,39.0,32.0,24.0
10/30/13,63.0,53.0,43.0
6/28/13,83.0,75.0,67.0
9/16/07,71.0,58.0,44.0
3/29/08,44.0,35.0,26.0
7/21/13,88.0,78.0,68.0
10/31/10,52.0,44.0,36.0
10/11/14,59.0,48.0,36.0
7/26/06,86.0,78.0,73.0
8/12/04,62.0,56.0,50.0
11/21/01,53.0,44.0,36.0
9/21/11,71.0,64.0,56.0
11/26/10,32.0,25.0,18.0
2/22/08,27.0,24.0,21.0
4/27/13,68.0,56.0,43.0
7/31/03,86.0,74.0,64.0
7/7/10,93.0,82.0,71.0
2/14/12,36.0,33.0,29.0
8/31/04,79.0,67.0,55.0
9/6/05,87.0,74.0,60.0
9/12/09,79.0,69.0,58.0
3/26/11,32.0,29.0,25.0
5/25/10,88.0,79.0,69.0
7/10/07,89.0,79.0,69.0
6/29/13,72.0,68.0,64.0
2/13/03,32.0,22.0,12.0
3/3/05,34.0,25.0,16.0
6/20/13,86.0,71.0,56.0
5/14/12,82.0,63.0,43.0
8/2/02,81.0,76.0,68.0
12/21/08,16.0,5.0,-6.0
2/15/13,33.0,27.0,20.0
2/23/06,43.0,33.0,23.0
9/3/09,75.0,66.0,56.0
6/28/04,75.0,65.0,55.0
4/28/10,64.0,49.0,33.0
10/27/11,53.0,46.0,39.0
8/5/02,84.0,76.0,70.0
9/25/04,73.0,62.0,52.0
9/13/13,67.0,60.0,52.0
3/12/03,41.0,36.0,30.0
3/4/06,41.0,31.0,21.0
3/2/06,37.0,31.0,25.0
1/28/08,44.0,32.0,20.0
12/11/07,33.0,30.0,27.0
1/8/11,24.0,17.0,9.0
9/23/05,67.0,65.0,62.0
5/28/13,76.0,66.0,56.0
4/24/13,50.0,44.0,37.0
1/12/10,31.0,26.0,20.0
6/24/12,94.0,80.0,65.0
10/11/12,67.0,51.0,35.0
9/27/08,,,
6/11/03,68.0,60.0,53.0
2/8/07,11.0,4.0,-4.0
9/12/11,86.0,75.0,64.0
1/3/07,48.0,41.0,33.0
9/23/06,69.0,63.0,56.0
7/24/10,87.0,78.0,69.0
10/9/03,73.0,62.0,51.0
11/26/14,29.0,23.0,17.0
8/13/10,92.0,83.0,73.0
5/1/04,48.0,46.0,43.0
7/30/07,89.0,76.0,62.0
11/19/06,44.0,37.0,29.0
6/28/06,77.0,66.0,57.0
10/12/04,61.0,51.0,42.0
7/1/04,84.0,72.0,61.0
7/4/01,88.0,78.0,68.0
6/19/03,68.0,60.0,53.0
8/22/01,86.0,76.0,68.0
8/24/05,76.0,67.0,57.0
8/27/01,84.0,73.0,64.0
2/18/11,50.0,42.0,33.0
7/7/09,77.0,68.0,59.0
2/23/11,33.0,29.0,24.0
2/9/13,32.0,26.0,20.0
6/15/04,80.0,72.0,62.0
4/2/06,60.0,50.0,39.0
1/27/05,21.0,15.0,8.0
3/12/12,65.0,59.0,52.0
12/13/05,28.0,26.0,23.0
12/12/03,23.0,16.0,10.0
12/12/11,47.0,35.0,23.0
5/9/11,73.0,60.0,47.0
10/10/08,72.0,57.0,42.0
1/28/05,27.0,16.0,5.0
7/12/06,81.0,74.0,68.0
3/15/07,38.0,33.0,28.0
8/9/13,82.0,71.0,59.0
2/29/08,38.0,31.0,23.0
4/24/03,60.0,48.0,37.0
12/19/10,21.0,15.0,8.0
2/6/11,32.0,28.0,24.0
10/25/12,75.0,60.0,45.0
7/23/13,78.0,71.0,63.0
11/4/07,53.0,45.0,37.0
4/18/09,73.0,57.0,40.0
4/26/10,63.0,55.0,47.0
7/9/13,85.0,79.0,73.0
10/30/05,65.0,54.0,43.0
6/8/02,82.0,70.0,60.0
9/14/09,84.0,71.0,58.0
12/8/02,28.0,20.0,12.0
7/9/08,85.0,76.0,67.0
9/17/06,82.0,71.0,59.0
5/29/03,66.0,57.0,50.0
1/4/08,36.0,29.0,22.0
5/30/03,71.0,58.0,46.0
10/26/11,53.0,50.0,47.0
5/31/11,85.0,77.0,69.0
7/18/05,91.0,83.0,75.0
10/30/10,63.0,53.0,42.0
10/8/03,80.0,64.0,48.0
7/13/01,79.0,68.0,59.0
8/16/13,82.0,69.0,55.0
4/21/06,71.0,58.0,46.0
2/7/10,31.0,27.0,23.0
5/20/04,84.0,73.0,64.0
6/14/05,80.0,74.0,67.0
11/4/12,48.0,40.0,32.0
12/6/13,21.0,17.0,13.0
8/13/01,75.0,67.0,61.0
8/20/13,88.0,77.0,66.0
9/4/07,89.0,76.0,63.0
9/13/09,80.0,69.0,58.0
6/17/09,71.0,66.0,61.0
9/15/09,82.0,73.0,64.0
11/18/06,44.0,37.0,30.0
12/11/04,37.0,34.0,32.0
5/17/07,62.0,53.0,43.0
9/19/04,79.0,66.0,55.0
11/8/01,59.0,47.0,33.0
4/29/05,53.0,46.0,39.0
1/8/12,42.0,34.0,25.0
12/1/07,34.0,27.0,19.0
6/18/14,82.0,72.0,61.0
12/15/14,46.0,44.0,42.0
1/30/04,3.0,-2.0,-8.0
9/21/10,88.0,78.0,68.0
6/3/12,81.0,69.0,57.0
7/31/08,89.0,81.0,72.0
2/27/06,38.0,33.0,27.0
4/2/01,60.0,45.0,30.0
3/13/01,41.0,36.0,31.0
6/10/12,93.0,80.0,67.0
6/23/02,91.0,82.0,73.0
5/6/09,75.0,63.0,51.0
12/5/07,30.0,20.0,9.0
8/26/14,85.0,78.0,71.0
4/30/10,81.0,72.0,62.0
3/5/11,36.0,32.0,27.0
10/7/08,63.0,60.0,56.0
11/26/07,39.0,35.0,31.0
8/14/01,75.0,68.0,60.0
1/25/09,13.0,6.0,-2.0
4/12/04,42.0,36.0,30.0
5/11/11,87.0,75.0,63.0
8/22/13,78.0,73.0,68.0
5/18/03,71.0,59.0,48.0
8/17/11,83.0,73.0,62.0
4/2/11,54.0,45.0,36.0
12/20/03,30.0,20.0,10.0
7/12/14,80.0,75.0,70.0
1/14/14,35.0,29.0,22.0
7/5/06,77.0,68.0,60.0
6/8/14,72.0,63.0,54.0
9/22/06,71.0,64.0,57.0
7/20/02,90.0,76.0,63.0
3/13/03,35.0,31.0,27.0
3/22/02,37.0,26.0,14.0
8/23/07,87.0,78.0,69.0
2/26/14,18.0,10.0,1.0
6/6/14,81.0,65.0,49.0
3/16/13,35.0,33.0,30.0
11/8/04,46.0,38.0,30.0
3/22/08,37.0,32.0,27.0
1/5/05,30.0,28.0,26.0
1/31/08,26.0,18.0,10.0
9/19/14,78.0,66.0,53.0
1/2/12,29.0,24.0,18.0
8/1/01,91.0,84.0,77.0
5/1/14,49.0,46.0,42.0
7/10/03,82.0,72.0,64.0
1/16/03,27.0,22.0,16.0
5/20/09,84.0,73.0,61.0
1/16/10,27.0,25.0,23.0
12/15/04,37.0,28.0,18.0
11/9/12,56.0,45.0,33.0
10/30/06,70.0,54.0,38.0
8/15/11,82.0,68.0,54.0
12/17/13,33.0,25.0,16.0
11/21/07,45.0,39.0,33.0
12/15/08,31.0,18.0,5.0
7/2/01,78.0,62.0,51.0
8/18/01,70.0,66.0,61.0
8/24/13,86.0,73.0,60.0
12/13/10,16.0,12.0,7.0
9/16/13,64.0,58.0,51.0
2/14/08,34.0,24.0,13.0
7/17/09,70.0,64.0,57.0
12/19/06,43.0,34.0,24.0
9/27/14,79.0,67.0,54.0
5/3/05,52.0,43.0,33.0
8/19/13,85.0,71.0,57.0
4/7/08,53.0,48.0,42.0
6/27/12,92.0,75.0,57.0
10/3/06,82.0,69.0,55.0
6/16/02,77.0,65.0,55.0
5/13/09,70.0,62.0,53.0
4/9/01,59.0,50.0,44.0
6/22/06,82.0,74.0,66.0
4/22/02,43.0,39.0,35.0
6/28/02,86.0,72.0,61.0
2/28/07,35.0,32.0,28.0
6/17/13,88.0,74.0,59.0
8/8/08,79.0,71.0,63.0
10/21/04,57.0,54.0,50.0
2/8/08,38.0,31.0,23.0
2/4/01,34.0,30.0,27.0
11/24/01,63.0,58.0,48.0
4/21/04,64.0,56.0,48.0
8/6/06,84.0,77.0,69.0
4/15/04,75.0,60.0,48.0
12/15/11,57.0,45.0,33.0
9/3/11,89.0,79.0,69.0
12/31/12,35.0,28.0,20.0
7/19/01,88.0,78.0,68.0
8/21/10,86.0,79.0,71.0
11/5/09,55.0,45.0,35.0
3/15/06,42.0,34.0,25.0
10/31/11,53.0,45.0,36.0
10/5/11,80.0,65.0,49.0
8/14/03,86.0,76.0,69.0
8/30/03,73.0,68.0,63.0
1/2/03,30.0,29.0,28.0
3/27/12,74.0,57.0,40.0
2/3/04,32.0,21.0,9.0
9/30/05,71.0,58.0,44.0
2/10/14,12.0,5.0,-3.0
7/14/06,89.0,80.0,73.0
3/18/06,41.0,33.0,25.0
10/10/05,63.0,54.0,44.0
1/6/05,27.0,20.0,12.0
4/7/02,48.0,42.0,35.0
9/23/09,76.0,69.0,62.0
7/29/10,82.0,75.0,67.0
12/7/14,36.0,31.0,26.0
3/4/11,54.0,45.0,35.0
5/29/10,86.0,73.0,59.0
10/11/10,82.0,68.0,54.0
9/15/14,62.0,57.0,51.0
3/7/07,28.0,25.0,21.0
12/11/11,45.0,36.0,27.0
8/2/04,88.0,80.0,70.0
7/8/02,93.0,82.0,70.0
11/20/02,50.0,44.0,37.0
3/31/03,54.0,40.0,25.0
7/23/07,83.0,72.0,60.0
10/27/07,55.0,46.0,37.0
10/29/01,59.0,52.0,44.0
1/18/03,21.0,14.0,7.0
6/16/11,81.0,71.0,61.0
12/31/08,24.0,18.0,11.0
4/5/06,57.0,46.0,34.0
3/29/13,55.0,44.0,32.0
9/15/04,86.0,76.0,69.0
12/22/05,38.0,22.0,6.0
8/19/03,82.0,72.0,61.0
3/2/07,32.0,29.0,25.0
2/13/10,30.0,21.0,11.0
3/11/02,44.0,32.0,21.0
1/23/02,48.0,42.0,35.0
7/1/10,77.0,66.0,55.0
7/23/11,87.0,79.0,70.0
8/2/01,84.0,78.0,73.0
4/4/06,55.0,46.0,36.0
12/1/04,32.0,28.0,25.0
11/26/06,62.0,54.0,45.0
10/20/08,55.0,49.0,43.0
2/6/02,37.0,29.0,21.0
4/20/02,48.0,44.0,41.0
12/7/12,46.0,44.0,41.0
1/11/01,39.0,28.0,18.0
3/3/12,35.0,33.0,30.0
9/10/04,80.0,66.0,51.0
8/10/03,84.0,72.0,62.0
8/10/04,66.0,63.0,60.0
7/6/05,80.0,72.0,64.0
11/7/13,44.0,37.0,30.0
4/26/04,60.0,52.0,44.0
3/21/04,32.0,28.0,24.0
4/22/10,60.0,49.0,38.0
8/15/08,78.0,70.0,61.0
7/5/01,73.0,65.0,55.0
7/22/03,73.0,68.0,62.0
8/22/06,87.0,76.0,64.0
9/4/02,84.0,72.0,61.0
9/17/07,80.0,66.0,52.0
5/23/10,89.0,76.0,62.0
3/9/06,58.0,48.0,38.0
9/29/14,83.0,68.0,53.0
4/17/04,77.0,63.0,51.0
12/3/12,70.0,58.0,46.0
5/27/14,85.0,72.0,58.0
11/1/12,54.0,44.0,34.0
6/6/04,82.0,72.0,62.0
3/26/02,37.0,31.0,25.0
4/25/05,67.0,53.0,39.0
5/28/08,62.0,53.0,43.0
10/14/07,61.0,57.0,53.0
5/21/02,57.0,45.0,33.0
11/18/08,34.0,28.0,21.0
2/10/12,36.0,25.0,14.0
10/10/06,58.0,55.0,52.0
8/21/01,81.0,72.0,63.0
12/7/05,15.0,8.0,0.0
10/31/04,55.0,50.0,45.0
8/4/10,83.0,77.0,71.0
11/7/05,62.0,49.0,36.0
4/26/02,53.0,44.0,36.0
5/5/01,66.0,56.0,48.0
8/26/10,79.0,69.0,59.0
1/12/11,26.0,23.0,20.0
8/26/13,92.0,81.0,70.0
10/13/08,77.0,69.0,61.0
12/24/11,39.0,30.0,21.0
5/5/03,69.0,60.0,51.0
9/8/02,91.0,76.0,61.0
9/16/02,75.0,62.0,50.0
5/25/06,75.0,68.0,64.0
11/22/07,33.0,29.0,25.0
1/1/11,41.0,28.0,14.0
12/21/12,33.0,27.0,20.0
6/9/13,80.0,68.0,55.0
2/24/12,35.0,31.0,26.0
9/17/02,79.0,65.0,51.0
1/4/02,37.0,28.0,18.0
5/10/09,67.0,54.0,40.0
2/6/10,31.0,28.0,25.0
11/9/04,53.0,45.0,37.0
2/11/14,14.0,3.0,-8.0
7/17/03,86.0,74.0,64.0
6/17/07,91.0,81.0,70.0
5/23/03,64.0,54.0,43.0
4/6/09,40.0,36.0,32.0
1/10/15,24.0,11.0,-2.0
4/23/10,63.0,52.0,41.0
3/30/07,55.0,51.0,46.0
7/1/11,89.0,81.0,72.0
1/1/09,31.0,24.0,17.0
6/17/04,81.0,72.0,64.0
12/7/07,30.0,27.0,24.0
11/12/04,46.0,38.0,30.0
2/14/09,34.0,29.0,23.0
3/27/13,42.0,37.0,31.0
6/1/09,78.0,65.0,51.0
5/16/02,66.0,54.0,43.0
2/15/08,24.0,17.0,9.0
10/15/08,63.0,56.0,48.0
5/9/03,84.0,68.0,53.0
4/9/09,58.0,45.0,31.0
4/11/10,63.0,54.0,44.0
1/7/05,27.0,18.0,10.0
9/16/14,68.0,56.0,44.0
6/22/13,80.0,74.0,67.0
6/16/01,86.0,70.0,55.0
9/3/02,80.0,73.0,66.0
3/24/06,40.0,36.0,31.0
6/26/08,86.0,78.0,70.0
11/14/07,56.0,48.0,39.0
3/14/03,54.0,39.0,24.0
10/4/02,72.0,64.0,54.0
3/14/12,81.0,64.0,46.0
12/11/10,36.0,30.0,24.0
1/12/12,37.0,28.0,19.0
3/2/04,48.0,44.0,39.0
9/20/03,71.0,56.0,44.0
9/12/03,82.0,72.0,62.0
8/5/03,80.0,70.0,62.0
5/19/07,80.0,68.0,56.0
5/19/01,73.0,62.0,48.0
11/5/14,60.0,47.0,34.0
10/11/09,44.0,37.0,29.0
4/30/08,57.0,44.0,31.0
7/7/05,81.0,73.0,64.0
12/20/01,39.0,32.0,26.0
3/10/05,37.0,29.0,21.0
2/22/07,40.0,34.0,27.0
8/24/10,84.0,74.0,64.0
10/13/03,73.0,57.0,42.0
10/14/05,76.0,62.0,48.0
11/24/02,37.0,32.0,26.0
12/22/01,48.0,40.0,33.0
10/17/13,53.0,47.0,40.0
6/8/06,84.0,72.0,61.0
5/21/06,61.0,52.0,44.0
11/11/05,60.0,47.0,34.0
4/30/02,60.0,54.0,48.0
7/7/01,86.0,73.0,62.0
7/15/06,97.0,84.0,73.0
5/19/12,92.0,76.0,59.0
8/13/12,69.0,65.0,60.0
5/27/01,61.0,54.0,48.0
5/14/05,64.0,56.0,47.0
3/25/13,38.0,35.0,32.0
3/23/03,62.0,52.0,42.0
5/12/11,86.0,72.0,58.0
6/2/05,76.0,66.0,56.0
2/15/06,42.0,37.0,32.0
10/13/10,66.0,57.0,47.0
10/15/09,44.0,43.0,41.0
3/3/03,30.0,20.0,10.0
7/4/14,79.0,69.0,58.0
3/20/13,25.0,20.0,14.0
1/12/13,53.0,42.0,30.0
3/13/14,39.0,26.0,12.0
4/25/08,82.0,63.0,44.0
12/28/02,35.0,30.0,26.0
10/12/14,63.0,51.0,38.0
5/7/04,55.0,50.0,46.0
1/15/05,14.0,10.0,5.0
8/8/07,87.0,80.0,73.0
1/9/06,38.0,36.0,33.0
4/3/07,70.0,53.0,35.0
9/27/10,65.0,57.0,48.0
6/1/07,85.0,74.0,62.0
1/8/09,21.0,17.0,12.0
4/13/06,80.0,67.0,55.0
1/20/06,46.0,39.0,32.0
1/4/14,31.0,25.0,19.0
10/10/02,73.0,62.0,51.0
2/28/13,35.0,31.0,27.0
1/19/11,23.0,19.0,15.0
7/22/09,78.0,71.0,63.0
6/17/02,77.0,66.0,57.0
8/14/08,79.0,71.0,63.0
12/2/08,35.0,28.0,21.0
4/22/05,46.0,42.0,38.0
12/4/10,32.0,28.0,23.0
3/18/11,53.0,44.0,34.0
6/5/02,64.0,56.0,46.0
5/21/04,77.0,62.0,48.0
1/11/03,19.0,14.0,8.0
9/15/06,78.0,66.0,53.0
11/16/10,50.0,41.0,32.0
7/19/03,82.0,68.0,53.0
12/1/09,55.0,44.0,32.0
9/20/11,74.0,62.0,49.0
5/15/06,62.0,56.0,48.0
9/20/09,73.0,64.0,54.0
5/30/11,88.0,72.0,56.0
12/22/11,40.0,36.0,31.0
1/17/09,24.0,14.0,3.0
7/24/03,80.0,67.0,55.0
4/13/01,59.0,49.0,39.0
4/19/10,56.0,46.0,35.0
12/17/12,40.0,35.0,30.0
3/4/08,31.0,26.0,21.0
2/21/04,39.0,34.0,28.0
1/21/07,29.0,28.0,26.0
4/29/07,82.0,64.0,45.0
5/15/09,61.0,57.0,52.0
7/10/10,89.0,79.0,69.0
1/29/11,33.0,30.0,26.0
7/15/04,84.0,72.0,61.0
2/13/13,44.0,32.0,19.0
12/23/12,34.0,28.0,21.0
10/24/01,63.0,52.0,41.0
12/9/11,32.0,25.0,18.0
8/23/14,86.0,77.0,68.0
11/27/11,46.0,41.0,36.0
5/26/13,68.0,56.0,44.0
8/22/03,80.0,71.0,63.0
2/8/13,33.0,28.0,23.0
4/20/01,77.0,64.0,51.0
5/9/14,73.0,64.0,54.0
11/5/04,54.0,45.0,36.0
9/7/09,77.0,68.0,59.0
11/25/12,43.0,36.0,29.0
1/8/10,27.0,19.0,11.0
5/28/04,60.0,53.0,46.0
11/19/04,55.0,52.0,48.0
1/17/08,33.0,23.0,12.0
6/27/14,88.0,74.0,59.0
4/11/09,47.0,39.0,31.0
8/30/09,66.0,59.0,51.0
2/16/05,33.0,30.0,26.0
9/28/11,63.0,58.0,53.0
11/8/10,67.0,53.0,38.0
2/1/10,30.0,22.0,14.0
7/2/07,79.0,66.0,53.0
9/21/07,88.0,76.0,64.0
2/27/09,46.0,34.0,21.0
6/7/05,92.0,77.0,61.0
11/7/01,68.0,57.0,46.0
10/27/05,54.0,44.0,34.0
3/4/03,34.0,26.0,17.0
1/28/15,34.0,27.0,19.0
12/13/07,34.0,31.0,28.0
2/26/13,36.0,34.0,32.0
7/27/13,65.0,60.0,55.0
12/21/01,39.0,32.0,25.0
8/11/01,77.0,69.0,61.0
12/17/05,20.0,16.0,11.0
12/9/09,35.0,23.0,11.0
12/27/11,41.0,34.0,26.0
8/31/05,80.0,71.0,62.0
6/10/08,79.0,69.0,59.0
2/21/07,48.0,36.0,23.0
6/26/09,86.0,78.0,69.0
7/6/13,83.0,74.0,65.0
4/21/03,51.0,48.0,44.0
10/23/12,70.0,64.0,57.0
4/25/02,54.0,46.0,37.0
12/25/06,37.0,34.0,30.0
1/1/03,33.0,30.0,28.0
4/27/06,71.0,57.0,39.0
11/27/07,35.0,30.0,24.0
7/11/04,87.0,73.0,62.0
4/13/03,66.0,48.0,30.0
11/1/14,43.0,36.0,29.0
7/18/13,95.0,86.0,77.0
8/16/05,84.0,74.0,63.0
3/30/12,53.0,47.0,40.0
6/20/09,87.0,78.0,68.0
7/24/14,75.0,66.0,57.0
9/14/07,66.0,56.0,45.0
7/16/12,97.0,85.0,72.0
10/28/02,48.0,42.0,37.0
6/26/11,81.0,69.0,57.0
4/3/03,46.0,42.0,37.0
11/27/06,62.0,57.0,52.0
10/28/11,55.0,45.0,35.0
6/17/11,82.0,71.0,60.0
9/27/12,65.0,56.0,46.0
9/25/02,73.0,58.0,44.0
11/23/09,49.0,45.0,41.0
8/1/05,93.0,81.0,69.0
11/2/11,65.0,57.0,48.0
4/13/12,66.0,53.0,40.0
6/1/12,65.0,57.0,49.0
10/15/10,63.0,54.0,45.0
4/23/12,60.0,50.0,39.0
7/7/03,88.0,78.0,69.0
1/25/11,29.0,25.0,21.0
12/2/09,45.0,39.0,33.0
10/1/05,79.0,65.0,51.0
9/18/14,70.0,62.0,53.0
10/16/13,54.0,51.0,47.0
11/21/10,60.0,51.0,41.0
7/30/03,84.0,68.0,54.0
4/28/07,73.0,56.0,39.0
11/14/08,52.0,47.0,42.0
3/4/12,32.0,29.0,26.0
3/28/12,68.0,57.0,45.0
3/1/07,45.0,39.0,32.0
8/21/03,95.0,85.0,77.0
3/27/09,44.0,38.0,32.0
6/21/04,66.0,63.0,60.0
5/22/11,87.0,74.0,61.0
10/6/11,81.0,66.0,50.0
12/23/10,29.0,24.0,19.0
1/3/03,34.0,28.0,21.0
12/22/06,54.0,47.0,40.0
6/15/06,86.0,74.0,63.0
7/1/09,65.0,61.0,57.0
6/21/05,89.0,75.0,60.0
1/23/11,20.0,12.0,4.0
10/18/04,53.0,46.0,41.0
12/6/11,37.0,32.0,27.0
7/7/08,87.0,79.0,71.0
5/12/09,71.0,55.0,39.0
1/1/12,44.0,37.0,29.0
8/3/01,84.0,76.0,70.0
9/2/02,82.0,74.0,66.0
3/24/02,41.0,34.0,26.0
9/15/02,72.0,63.0,55.0
4/18/10,52.0,44.0,36.0
1/24/08,10.0,3.0,-4.0
9/6/04,80.0,69.0,57.0
5/2/02,53.0,48.0,44.0
7/3/13,72.0,66.0,59.0
1/14/10,40.0,36.0,31.0
8/13/07,81.0,73.0,65.0
11/17/07,46.0,40.0,34.0
2/18/09,38.0,28.0,17.0
10/4/12,77.0,63.0,48.0
7/19/08,78.0,73.0,67.0
8/15/03,88.0,78.0,69.0
9/7/01,87.0,78.0,69.0
11/21/03,48.0,44.0,41.0
7/12/02,79.0,68.0,57.0
11/6/10,46.0,36.0,25.0
6/22/12,87.0,76.0,64.0
9/18/02,80.0,70.0,62.0
10/17/07,72.0,60.0,47.0
