ID,Case_Number,Date_Time,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,Latitude,Longitude
9933530,HY144012,02/07/2015 11:00:43 PM,014XX E 70TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,NO,NO,332,3.0,5,43,05,41.767950058,-87.590016591
9925676,HY135776,01/31/2015 07:32:42 PM,071XX S ABERDEEN ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,YES,NO,733,7.0,17,68,26,41.763858261,-87.651511426
9933756,HY144330,02/08/2015 02:10:34 PM,072XX S RIDGEWAY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,SIDEWALK,NO,NO,833,8.0,13,65,07,41.761687372,-87.716044251
9932604,HY142656,02/07/2015 02:00:26 AM,022XX N LINCOLN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,NO,NO,1812,18.0,43,7,11,41.922735229,-87.645185302
9930532,HY140437,02/05/2015 09:30:15 AM,053XX W MONROE ST,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1522,15.0,29,25,06,41.879442694,-87.758569368
9933233,HY143648,02/07/2015 10:37:39 AM,025XX E 76TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,YES,421,4.0,7,43,08B,41.757319638,-87.563494187
9928030,HY138370,02/03/2015 11:00:50 AM,041XX N HERMITAGE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,NO,NO,1912,19.0,47,6,26,41.95742137,-87.67214355
9921992,HY132212,01/28/2015 07:36:24 PM,027XX N LARAMIE AVE,2022,NARCOTICS,POSS: COCAINE,ALLEY,YES,NO,2521,25.0,31,19,18,41.930690676,-87.756246307
9932197,HY142043,02/06/2015 02:28:50 PM,076XX S ESSEX AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,NO,NO,421,4.0,7,43,26,41.756771761,-87.564050491
9920182,HY130252,01/26/2015 08:00:59 PM,025XX N SAWYER AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,NO,NO,1413,14.0,35,22,26,41.927153193,-87.709509099
9929383,HY139589,02/02/2015 02:00:40 PM,075XX S YATES BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,NO,NO,421,4.0,7,43,06,41.758605737,-87.566220345
9929678,HY139986,02/04/2015 01:30:17 PM,058XX S DAMEN AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,NO,NO,715,7.0,15,67,11,41.788100811,-87.673985315
9919529,HY130018,01/26/2015 11:47:32 PM,104XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,NO,NO,512,5.0,9,49,06,41.705285756,-87.620651018
9926667,HY137107,02/02/2015 10:40:56 AM,052XX S NEWLAND AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,ALLEY,NO,NO,811,8.0,23,56,08A,41.797329202,-87.795522605
9920116,HY130319,01/27/2015 11:05:47 AM,117XX S HARVARD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,YES,NO,522,5.0,34,53,18,41.679980764,-87.630982541
9921021,HY131008,01/27/2015 06:30:17 PM,052XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,YES,YES,934,9.0,16,61,08B,41.799008083,-87.650284439
9925048,HY134568,01/30/2015 07:00:34 PM,005XX W IOWA ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,CHA PARKING LOT/GROUNDS,NO,YES,1823,18.0,27,8,04B,41.8982371,-87.641922178
9916455,HY126717,01/23/2015 07:00:18 PM,013XX S INDIANA PKWY,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,NO,NO,132,1.0,2,33,26,41.864612285,-87.623543099
9921196,HY131220,01/27/2015 12:20:51 AM,078XX S BURNHAM AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,NO,YES,421,4.0,7,43,26,41.752435916,-87.557135491
9917512,HY128134,01/25/2015 09:00:48 AM,025XX N SACRAMENTO AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,NO,NO,1414,14.0,35,22,11,41.927492217,-87.702248045
9925679,HY135762,01/31/2015 07:00:15 PM,079XX S CRANDON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,NO,YES,414,4.0,7,46,06,41.751321216,-87.568516917
9936884,HY147009,02/05/2015 01:00:58 PM,014XX N ASHLAND AVE,0820,THEFT,$500 AND UNDER,OTHER,NO,NO,1433,14.0,1,24,06,41.90748789,-87.667457157
9925484,HY135452,01/31/2015 09:30:50 AM,010XX E 80TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,NO,NO,624,6.0,8,44,05,41.749622034,-87.600016315
9927839,HY136813,01/31/2015 01:02:55 PM,068XX S CRANDON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,NO,NO,331,3.0,5,43,26,41.770253986,-87.569736391
9926192,HY136466,02/01/2015 01:50:25 PM,088XX S MARQUETTE AVE,0460,BATTERY,SIMPLE,APARTMENT,NO,NO,423,4.0,7,46,08B,41.73483176,-87.558435637
9932635,HY142641,02/06/2015 10:00:56 PM,073XX S DAMEN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,NO,NO,735,7.0,17,67,02,41.760524789,-87.6732744
9919628,HY129081,01/26/2015 09:00:38 AM,010XX N KEELER AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,NO,NO,1111,,37,23,05,,
9927121,HY137095,02/01/2015 04:00:52 PM,016XX W FARWELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2431,,49,1,14,,
9933766,HY144221,02/08/2015 12:15:23 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,NO,NO,1833,18.0,42,8,06,41.897765295,-87.623958464
9933058,HY143228,02/07/2015 01:32:32 PM,004XX N PULASKI RD,0810,THEFT,OVER $500,OTHER RAILROAD PROP / TRAIN DEPOT,NO,NO,1111,11.0,28,23,06,41.887801524,-87.726014527
9940748,HY150185,01/30/2015 02:30:36 AM,013XX N OAKLEY BLVD,0810,THEFT,OVER $500,STREET,NO,NO,1424,14.0,1,24,06,41.905466914,-87.684501364
9932486,HY142437,02/06/2015 08:15:38 PM,073XX S STONY ISLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,324,3.0,5,43,18,41.7614086,-87.586353478
9926027,HY136277,02/01/2015 11:45:32 AM,045XX W WASHINGTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,YES,NO,1113,11.0,28,26,18,41.882004648,-87.738400687
9919207,HY129651,01/26/2015 03:26:40 PM,011XX W BELMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,NO,NO,1933,19.0,44,6,14,41.939733081,-87.658620335
9940716,HY151299,02/07/2015 04:00:47 PM,027XX N HAMPDEN CT,0810,THEFT,OVER $500,STREET,NO,NO,1935,19.0,43,7,06,41.931981066,-87.642079727
9933239,HY143599,02/07/2015 07:31:20 PM,033XX N PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),YES,NO,1732,17.0,30,21,18,41.941424118,-87.727108515
