id,date_block_num,shop_id,item_id,item_cnt_month,city_code,item_category_id,subject_code,group_code,subgroup_code,year,month
45,0,25,2439,7.0,15,30,322,9,50,2013,1
46,0,25,2441,1.0,15,23,322,6,19,2013,1
47,0,25,2461,1.0,15,55,330,13,6,2013,1
48,0,25,2462,1.0,15,40,331,11,8,2013,1
49,0,25,2473,1.0,15,56,340,13,7,2013,1
50,0,25,2480,1.0,15,55,342,13,6,2013,1
51,0,25,2515,1.0,15,58,352,13,28,2013,1
52,0,25,2522,1.0,15,58,352,13,28,2013,1
53,0,25,2546,1.0,15,55,352,13,6,2013,1
54,0,25,2548,1.0,15,58,352,13,28,2013,1
55,0,25,2552,0.0,15,58,352,13,28,2013,1
56,0,25,2554,1.0,15,58,352,13,28,2013,1
57,0,25,2555,1.0,15,56,352,13,7,2013,1
58,0,25,2564,1.0,15,59,352,13,38,2013,1
59,0,25,2565,1.0,15,56,352,13,7,2013,1
60,0,25,2572,2.0,15,55,356,13,6,2013,1
61,0,25,2573,3.0,15,55,357,13,6,2013,1
62,0,25,2574,13.0,15,55,357,13,6,2013,1
63,0,25,2593,1.0,15,55,359,13,6,2013,1
64,0,25,2604,2.0,15,55,359,13,6,2013,1
65,0,25,2607,2.0,15,55,359,13,6,2013,1
66,0,25,2609,1.0,15,59,359,13,38,2013,1
67,0,25,2611,1.0,15,59,359,13,38,2013,1
68,0,25,2614,2.0,15,55,359,13,6,2013,1
69,0,25,2628,1.0,15,55,365,13,6,2013,1
70,0,25,2629,1.0,15,55,365,13,6,2013,1
71,0,25,2631,1.0,15,55,366,13,6,2013,1
72,0,25,2640,1.0,15,59,366,13,38,2013,1
73,0,25,2678,6.0,15,23,331,6,19,2013,1
74,0,25,2680,2.0,15,19,332,6,13,2013,1
75,0,25,2682,4.0,15,19,332,6,13,2013,1
76,0,25,2703,10.0,15,30,334,9,50,2013,1
77,0,25,2704,2.0,15,19,334,6,13,2013,1
78,0,25,2705,4.0,15,23,334,6,19,2013,1
79,0,25,2715,2.0,15,19,336,6,13,2013,1
80,0,25,2716,2.0,15,28,336,9,32,2013,1
81,0,25,2719,3.0,15,19,336,6,13,2013,1
82,0,25,2720,1.0,15,23,336,6,19,2013,1
83,0,25,2731,2.0,15,30,347,9,50,2013,1
84,0,25,2746,8.0,15,30,347,9,50,2013,1
85,0,25,2748,3.0,15,19,347,6,13,2013,1
86,0,25,2795,2.0,15,28,361,9,32,2013,1
87,0,25,2798,2.0,15,30,361,9,50,2013,1
88,0,25,2808,30.0,15,30,363,9,50,2013,1
89,0,25,2822,1.0,15,30,367,9,50,2013,1
90,0,25,2833,10.0,15,30,371,9,50,2013,1
91,0,25,2835,3.0,15,19,371,6,13,2013,1
92,0,25,2836,2.0,15,23,371,6,19,2013,1
93,0,25,2844,3.0,15,28,371,9,32,2013,1
94,0,25,2845,1.0,15,21,372,6,16,2013,1
95,0,25,2847,2.0,15,23,372,6,19,2013,1
96,0,25,2848,2.0,15,30,372,9,50,2013,1
97,0,25,2854,3.0,15,30,372,9,50,2013,1
98,0,25,2857,2.0,15,19,372,6,13,2013,1
99,0,25,2920,5.0,15,21,372,6,16,2013,1
100,0,25,2924,1.0,15,30,372,9,50,2013,1
101,0,25,3112,1.0,15,40,416,11,8,2013,1
102,0,25,3128,1.0,15,56,418,13,7,2013,1
103,0,25,3130,1.0,15,55,421,13,6,2013,1
104,0,25,3141,2.0,15,75,424,15,31,2013,1
105,0,25,3146,1.0,15,75,424,15,31,2013,1
106,0,25,3147,2.0,15,75,424,15,31,2013,1
107,0,25,3148,1.0,15,75,424,15,31,2013,1
108,0,25,3158,2.0,15,75,424,15,31,2013,1
109,0,25,3164,1.0,15,55,430,13,6,2013,1
110,0,25,3168,1.0,15,55,434,13,6,2013,1
111,0,25,3172,1.0,15,59,434,13,38,2013,1
112,0,25,3174,1.0,15,55,434,13,6,2013,1
113,0,25,3175,2.0,15,55,434,13,6,2013,1
114,0,25,3203,2.0,15,30,420,9,50,2013,1
115,0,25,3204,3.0,15,30,420,9,50,2013,1
116,0,25,3209,3.0,15,30,420,9,50,2013,1
117,0,25,3210,2.0,15,30,420,9,50,2013,1
118,0,25,3214,1.0,15,30,420,9,50,2013,1
119,0,25,3223,7.0,15,30,426,9,50,2013,1
120,0,25,3253,1.0,15,19,436,6,13,2013,1
121,0,25,3268,1.0,15,55,441,13,6,2013,1
122,0,25,3269,1.0,15,55,441,13,6,2013,1
123,0,25,3394,2.0,15,23,442,6,19,2013,1
124,0,25,3402,4.0,15,30,445,9,50,2013,1
125,0,25,3417,3.0,15,30,445,9,50,2013,1
126,0,25,3429,9.0,15,23,447,6,19,2013,1
127,0,25,3432,28.0,15,30,447,9,50,2013,1
128,0,59,22154,1.0,32,37,4645,11,3,2013,1
